,index,from_node,to_node,source_edge_id,edge_tt,edge_var,distance
4320,21848,24662,24663,192994907#1,7.2727272727272725,0.21818181818181817,35.94
4321,21858,24678,24679,193382571,1.0,0.0,0.2
4322,21863,24682,24683,193382573#1,5.0,0.0,17.89
4323,21879,24710,24711,193806654,28.615384615384617,2.423076923076923,402.75
4324,21887,24732,24733,194116093,4.0,0.0,2.28
4325,21890,24742,24743,194116105,11.0,0.0,49.17
4326,21892,24744,24745,194116108,12.0,0.0,49.24
4327,21893,24746,24747,194116110,8.0,0.0,25.89
4328,21895,24748,24749,194116112,5.666666666666667,0.33333333333333326,18.99
4329,21899,24752,24753,194116116,8.0,0.0,32.93
4330,21900,24760,24761,194116124#0,3.0,0.0,5.67
4331,21904,24762,24763,194116124#1,4.0,0.0,3.25
4332,21907,24764,24765,194116124#2,4.0,0.0,3.18
4333,21908,24766,24767,194116124#3,4.0,0.0,2.25
4334,21911,24774,24775,194119647,5.0,2.0,18.28
4335,21915,24778,24779,194119651,1.75,0.25,2.0
4336,21931,24794,24795,194134004#0,9.0,0.0,38.64
4337,21935,24796,24797,194134004#1,8.0,0.0,21.98
4338,21939,24798,24799,194377108#0,4.083333333333333,0.2651515151515152,56.24
4339,21943,24800,24801,194377108#0.54,14.666666666666666,28.424242424242426,164.4
4340,21947,24802,24803,195073412#0,2.142857142857143,0.4761904761904762,12.69
4341,21951,24804,24805,195073412#1,3.0,0.0,25.27
4342,21955,24806,24807,195073413,6.857142857142857,0.14285714285714288,101.79
4343,21959,24808,24809,195073415,16.153846153846153,1.1410256410256407,246.48
4344,21963,24810,24811,195073416,11.5,0.33333333333333304,173.28
4345,21966,24812,24813,195073418#0,3.0,0.0,48.37
4346,21969,24814,24815,195073418#1,6.75,0.24999999999999992,98.55
4347,21972,24816,24817,195073423,4.4,0.7999999999999999,35.75
4348,21986,24832,24833,195966646#2,3.0,0.0,0.35
4349,21989,24834,24835,195966647#0,8.0,2.0,34.15
4350,21997,24846,24847,195966649#0,13.666666666666666,5.333333333333334,50.88
4351,22001,24848,24849,195966649#1,10.0,1.0,35.41
4352,22005,24850,24851,195966649#2,17.5,0.3333333333333333,74.25
4353,22013,24858,24859,196172701,32.0,0.0,148.92
4354,22016,24860,24861,196172702#0,64.0,0.0,10.62
4355,22020,24862,24863,196172703,6.0,0.0,23.53
4356,22023,24864,24865,196172704#1,3.857142857142857,0.8095238095238096,9.02
4357,22028,24868,24869,196873454,3.0,0.0,1.13
4358,22035,24878,24879,198836601,6.0,0.0,27.84
4359,22036,24880,24881,198836602,4.0,0.0,15.62
4360,22037,24882,24883,198836603,8.0,0.0,23.34
4361,22039,24884,24885,198836604,5.0,0.0,1.38
4362,22041,24888,24889,198836606,3.0,0.0,8.05
4363,22045,24904,24905,198836614#1,5.0,0.0,4.31
4364,22047,24906,24907,198836614#2,3.0,0.0,1.41
4365,22049,24908,24909,198836614#3,12.0,0.0,23.41
4366,22051,24910,24911,198836615#1,2.0,0.0,3.26
4367,22054,24916,24917,199227645#0,4.0,0.0,10.13
4368,22058,24918,24919,199227645#1,5.0,0.0,21.72
4369,22062,24920,24921,199227645#2,2.0,0.0,3.43
4370,22065,24944,24945,200741048,5.6,42.48888888888889,7.29
4371,22079,24962,24963,200741145#9,4.0,0.0,2.18
4372,22083,24964,24965,200741155,3.9,0.3222222222222222,23.18
4373,22091,24974,24975,200741163,1.0,0.0,5.27
4374,22122,25020,25021,200742227#10,4.0,0.0,44.38
4375,22125,25022,25023,200742227#11,1.0,0.0,1.32
4376,22128,25024,25025,200742227#12,3.0,0.0,31.63
4377,22131,25026,25027,200742227#13,3.0,0.0,44.19
4378,22134,25028,25029,200742227#14,5.0,0.0,46.97
4379,22157,25056,25057,200742227#6,8.0,0.0,46.15
4380,22160,25058,25059,200742227#7,4.0,0.0,13.33
4381,22163,25060,25061,200742227#8,10.0,0.0,113.45
4382,22166,25062,25063,200742227#9,4.0,0.0,30.35
4383,22172,25100,25101,200743818#1,4.0,0.0,0.93
4384,22174,25102,25103,200743818#2,4.0,0.0,1.24
4385,22176,25104,25105,200743818#3,3.0,0.0,1.98
4386,22177,25106,25107,200743818#4,9.0,0.0,47.97
4387,22178,25108,25109,200743818#5,3.0,0.0,1.96
4388,22179,25110,25111,200743818#6,3.0,0.0,1.0
4389,22180,25112,25113,200743818#7,3.0,0.0,1.96
4390,22181,25114,25115,200743818#8,3.0,0.0,1.92
4391,22184,25116,25117,200743818#9,4.0,0.0,3.56
4392,22187,25118,25119,200743819,4.0,0.0,18.39
4393,22191,25148,25149,200743835,6.0,0.0,18.59
4394,22195,25160,25161,200743840,12.0,0.0,49.88
4395,22199,25164,25165,200743841#1,3.0,0.0,1.79
4396,22202,25166,25167,200743841#2,4.0,0.0,2.22
4397,22207,25174,25175,200743844#0,5.0,0.0,12.89
4398,22211,25176,25177,200743844#1,35.0,0.0,131.9
4399,22214,25178,25179,200908887,8.0,0.0,50.91
4400,22218,25180,25181,200908888#1,5.0,0.0,18.38
4401,22222,25184,25185,200908901#1,10.0,0.0,47.46
4402,22238,25212,25213,200949176#0,3.9375,1.3958333333333333,39.7
4403,22251,25234,25235,200949427,7.0,0.0,31.8
4404,22253,25240,25241,200978113#1,2.8,0.7,1.36
4405,22257,25242,25243,201078447#0,10.0,0.0,42.22
4406,22261,25244,25245,201078447#2,8.0,0.0,29.02
4407,22265,25246,25247,201078448#0,5.5,0.5,29.04
4408,22267,25248,25249,201078448#1,3.0,0.0,31.58
4409,22273,25254,25255,201089420#0,2.8636363636363638,0.31385281385281383,20.25
4410,22277,25256,25257,201089420#1,6.181818181818182,72.91774891774891,41.15
4411,22281,25258,25259,201089423#1,8.428571428571429,2.619047619047619,50.62
4412,22285,25260,25261,201089423#2,5.0,0.3333333333333333,44.51
4413,22314,25284,25285,201201936#0,1.25,0.25,0.2
4414,22318,25286,25287,201201936#10,3.25,0.25000000000000006,30.22
4415,22322,25288,25289,201201936#11,4.5,1.0000000000000002,42.23
4416,22326,25290,25291,201201936#12,3.25,0.25000000000000006,29.71
4417,22330,25292,25293,201201936#2,4.0,0.0,31.32
4418,22334,25294,25295,201201936#3,3.75,0.25000000000000006,42.8
4419,22338,25296,25297,201201936#4,3.25,0.25000000000000006,34.99
4420,22342,25298,25299,201201936#5,2.75,0.25,29.02
4421,22346,25300,25301,201201936#6,0.5,0.3333333333333333,4.12
4422,22350,25302,25303,201201936#7,3.75,0.9166666666666666,36.32
4423,22354,25304,25305,201201936#8,3.0,0.0,29.06
4424,22358,25306,25307,201201936#9,3.25,0.25000000000000006,29.15
4425,22362,25308,25309,201201938#0,4.8,0.17777777777777792,44.05
4426,22366,25310,25311,201201938#1,4.9,0.32222222222222224,62.7
4427,22370,25312,25313,201201938#3,1.2727272727272727,0.21818181818181817,6.2
4428,22374,25314,25315,201201938#4,4.083333333333333,0.6287878787878788,42.52
4429,22378,25316,25317,201201939#1,2.9166666666666665,0.08333333333333334,15.92
4430,22382,25318,25319,201201940#0,11.2,1.9555555555555557,109.42
4431,22386,25320,25321,201201940#3,11.833333333333334,1.969696969696969,118.03
4432,22390,25322,25323,201201945#1,15.428571428571429,4.557142857142858,136.21
4433,22394,25324,25325,201201945#10,1.2857142857142858,0.21428571428571427,4.87
4434,22398,25326,25327,201201945#11,9.285714285714286,0.8142857142857144,102.13
4435,22402,25328,25329,201201945#2,0.5714285714285714,0.2571428571428572,7.62
4436,22406,25330,25331,201201945#3,9.904761904761905,0.89047619047619,111.69
4437,22410,25332,25333,201201945#4,2.761904761904762,0.2904761904761904,22.17
4438,22414,25334,25335,201201945#5,2.857142857142857,0.22857142857142865,28.54
4439,22418,25336,25337,201201945#7,5.857142857142857,0.5285714285714286,54.76
4440,22422,25338,25339,201201945#8,8.714285714285714,14.914285714285715,38.46
4441,22426,25340,25341,201201945#9,1.5714285714285714,0.557142857142857,4.34
4442,22430,25342,25343,201201947,2.4166666666666665,0.2651515151515152,10.1
4443,22434,25344,25345,201201948,2.8333333333333335,0.16666666666666669,8.48
4444,22438,25346,25347,201201949#0,0.6666666666666666,0.2424242424242424,4.49
4445,22442,25348,25349,201201949#1,2.5,0.27272727272727254,14.9
4446,22446,25350,25351,201201950#1,10.0,3.2,66.27
4447,22450,25352,25353,201201950#2,11.833333333333334,17.766666666666666,88.17
4448,22454,25354,25355,201201950#3,3.0,1.2,8.92
4449,22458,25356,25357,201201950#4,10.0,0.0,114.16
4450,22462,25358,25359,201201950#5,4.5,0.29999999999999993,51.46
4451,22466,25360,25361,201201953#1,9.5,3.9,73.34
4452,22470,25362,25363,201201953#10,10.0,2.0,89.02
4453,22474,25364,25365,201201953#11,12.4,1.3,155.22
4454,22478,25366,25367,201201953#12,20.2,388.7,76.57
4455,22482,25368,25369,201201953#2,21.166666666666668,40.96666666666667,169.84
4456,22486,25370,25371,201201953#4,3.8333333333333335,0.1666666666666667,27.28
4457,22490,25372,25373,201201953#5,2.6666666666666665,0.2666666666666667,28.51
4458,22494,25374,25375,201201953#6,6.5,0.2999999999999999,77.38
4459,22498,25376,25377,201201953#7,7.333333333333333,0.6666666666666665,91.53
4460,22502,25378,25379,201201953#8,7.166666666666667,15.366666666666669,41.69
4461,22506,25380,25381,201202386#0,4.0,0.0,15.89
4462,22510,25382,25383,201202386#1,7.666666666666667,0.6666666666666669,53.43
4463,22517,25386,25387,201238718#0,18.0,29.857142857142854,187.46
4464,22521,25388,25389,201238718#1,3.25,1.2666666666666664,22.86
4465,22525,25390,25391,201238718#1.33,14.8125,303.2291666666667,16.45
4466,22529,25392,25393,201238719#1,16.25,22.386363636363637,141.04
4467,22533,25394,25395,201238724#0,17.0,0.0,122.66
4468,22536,25396,25397,201238724#1,13.5,9.0,74.62
4469,22540,25398,25399,201238725#1,12.666666666666666,3.0666666666666673,114.92
4470,22544,25400,25401,201238725#2,4.0,1.0000000000000002,37.59
4471,22548,25402,25403,201238725#3,6.875,0.6964285714285712,73.54
4472,22552,25404,25405,201238725#4,1.375,0.26785714285714285,3.4
4473,22556,25406,25407,201238725#5,6.5,1.4285714285714286,59.12
4474,22560,25408,25409,201238726#0,7.583333333333333,0.6287878787878788,56.34
4475,22564,25410,25411,201238726#1,36.916666666666664,570.9924242424241,45.77
4476,22568,25412,25413,201238730,6.0,0.0,31.71
4477,22572,25416,25417,201243226#1,3.7142857142857144,1.904761904761905,8.78
4478,22576,25418,25419,201243226#2,6.428571428571429,0.6190476190476192,60.26
4479,22580,25420,25421,201243230#1,6.0,1.3333333333333333,36.29
4480,22593,25428,25429,201278210#1,7.333333333333333,0.33333333333333326,51.47
4481,22597,25430,25431,201278210#10,7.25,36.5,36.12
4482,22601,25432,25433,201278210#2,7.0,0.0,87.85
4483,22605,25434,25435,201278210#3,3.6666666666666665,0.33333333333333326,31.75
4484,22609,25436,25437,201278210#4,5.666666666666667,1.333333333333333,36.82
4485,22613,25438,25439,201278210#5,15.0,1.0,192.33
4486,22617,25440,25441,201278210#6,5.666666666666667,0.33333333333333326,39.8
4487,22621,25442,25443,201278210#7,6.333333333333333,0.33333333333333326,81.96
4488,22625,25444,25445,201278210#8,3.875,0.12500000000000008,24.14
4489,22629,25446,25447,201278210#9,1.0,0.0,8.13
4490,22633,25448,25449,201278214#0,10.11111111111111,75.36111111111111,20.59
4491,22637,25450,25451,201278218#0,2.1538461538461537,0.14102564102564102,13.28
4492,22640,25452,25453,201278218#0.62,52.0,1152.0,37.87
4493,22648,25458,25459,201286890#10,11.0,0.0,64.37
4494,22652,25460,25461,201286890#11,3.0,0.0,15.71
4495,22656,25462,25463,201286890#12,2.0,0.0,5.99
4496,22666,25472,25473,201286890#7,14.0,0.0,92.01
4497,22668,25474,25475,201286890#8,8.0,0.0,48.03
4498,22672,25476,25477,201286890#9,11.5,0.5,71.56
4499,22681,25482,25483,201400751#0,23.4,1.2999999999999998,297.38
4500,22698,25500,25501,201414945#0,3.0,0.0,25.26
