simulation_time,travel_time_factor,speed,speed_nw
417600,4.3655603764084665,10.07892773968544,44.0001675770549
421200,3.719958395576628,11.894384074330985,44.24661389752049
424800,3.3212346226223772,13.373683527378715,44.41714076312475
428400,2.8392699286345024,15.7011464445937,44.57979294522143
432000,2.2838892524340957,19.43213331545043,44.38084043102376
435600,2.0392025626157184,21.728186005108054,44.308172582607334
439200,1.889892197680657,23.295771953726305,44.02649765429523
442800,1.8154311496468942,24.309307123744503,44.13187337877892
446400,1.7942062099325797,24.689985151219037,44.29892468146038
450000,1.888229035393363,23.77585681394271,44.894263177441765
453600,2.1057564923657295,21.521715869143495,45.31949291829946
457200,2.5219272762326588,17.976338683217783,45.3350188520032
460800,3.0165629068390483,15.002530982382563,45.256078470158826
464400,3.2750436092038555,13.724880884157395,44.949583426743835
468000,3.4089665463812273,13.121936912854864,44.732243959647185
471600,3.4715105717914985,12.869802762750831,44.67765634776095
475200,3.428692327963117,12.992024627517448,44.54565516507695
478800,3.3448348002400046,13.356844995299006,44.676439961687656
482400,3.3664797933234953,13.283604019152552,44.71898451298784
486000,3.372750736989839,13.266567049093256,44.74482379215439
489600,3.1369257660769794,14.2021760241704,44.55117190458085
493200,3.188019671608153,13.963617557439816,44.516287459931114
496800,3.2192986253069686,13.741472701864177,44.23790417880458
500400,3.1017516015690667,14.255891776000002,44.218235148003295
504000,2.884725615524557,15.251528032409533,43.996473590982625
507600,2.7703198558929087,15.900365837965884,44.049099196878174
511200,2.730905784484847,16.186268310207648,44.20317375756984
514800,2.534723469208885,17.330189096408176,43.92723702849373
518400,2.3688118148965667,18.397134785049083,43.57935023906887
522000,2.184860359143574,19.799819787313293,43.25984137148737
525600,2.0754525298813253,20.716771995429095,42.99667684888791
529200,1.9482908019095584,22.17718201282059,43.20759972785246
532800,1.8475193609989866,23.784257311325707,43.941875869655945
536400,1.7169801964769824,25.97353090250583,44.59603819218543
540000,1.8165743275638082,24.786019800788964,45.025647252601445
543600,1.9443790455636252,23.18146490985026,45.07355461618131
547200,2.196089178254424,20.485272110816044,44.987484396160276
550800,2.4040434293299158,18.628869688468416,44.78461177040573
554400,2.5982871425851775,17.179168874747056,44.63641360755474
558000,2.8042292622014107,15.888555533452335,44.55515236101918
561600,2.904763157822666,15.290018145545636,44.413881391621004
565200,3.035096513852223,14.620847796289212,44.37568417608134
568800,3.0934695957159266,14.32144807792621,44.30296419568903
572400,3.174174764687315,13.979680674626856,44.3739496157875
576000,3.1955467365928536,13.867982893497656,44.315787478441955
579600,3.227917931060234,13.717280624151254,44.27825609208295
583200,3.227895941591792,13.673443919783168,44.13645413625105
586800,3.2798572777345734,13.396215946903938,43.937676367556826
590400,3.066769805918645,14.273375719325717,43.77315768456043
594000,2.909999580007753,15.122331027298758,44.0059769381776
597600,2.8412822485146103,15.516171001094913,44.08582123032814
601200,2.622315608089189,16.75815568902669,43.94517322612333
604800,2.3916125410639175,18.17680233638873,43.4718684241472
608400,2.1737664342781446,19.87058815226642,43.19401755476173
612000,2.032618467209828,21.187411510320647,43.06592390825182
615600,1.9102658295912567,22.671905640880336,43.30936663749097
619200,1.8175287032983323,24.03409351804615,43.68265482680527
622800,1.6934610061068625,26.183737663220455,44.34113872679546
626400,1.6628240519279758,27.104285524054337,45.069657879720815
630000,1.7742304830061455,25.54751399149396,45.32717808873459
633600,1.9358545083320113,23.299675903563447,45.104782640588034
637200,2.0947364690688013,21.431282443368616,44.89288891303817
640800,2.341662831305022,19.115520972746076,44.7621049629111
644400,2.57901776646576,17.253540264698653,44.49718687709018
648000,2.764985084597279,16.058244728466484,44.40080715902272
651600,2.9046129651695196,15.272667279313609,44.3611873922146
655200,3.04549144228862,14.597066415991973,44.45524085242217
658800,3.1233273295387725,14.215758955462515,44.40046845573163
662400,3.185794118489578,13.964665527583843,44.48854930445077
666000,3.213692382546279,13.823354868606248,44.42401024247392
669600,3.060260692566058,14.447602699347506,44.213430642624445
673200,2.714870469632569,16.317557146380384,44.30005403325
676800,2.4163320503031556,18.3172076016129,44.26045579983385
680400,2.238754828331982,19.786894929725197,44.29800656161989
684000,2.1134343637636293,20.94151398812361,44.25851529173716
687600,1.9780841586062,22.457320618190522,44.422470159583064
